,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
2001-09-28,A014820,A014040,A004020,A017300,A006200,A008480,A018590,A003550,A006360,A010120,A006260,A002610,A005940,A007700,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A012610,A012200,A010130,A009290,A007690,A023130,A008670,A006250,A002250,A002380,A001570,A002990,A011780,A001210,A019930,A000270,A025860,A003050,A002350,A005250,A004370,A023590,A009280,A033780,A008060,A016160,A000210,A001680,A003540,A006800,A003090,A024890,A012800,A006650,A001440,A001790,A003490,A001980,A004830,A024900,A015940,A001620,A001230,A016380,A000990,A005190,A000640,A001520,A001800,A010060,A019300,A000020,A000150,A002950,A001690,A003160,A026890,A000320,A018360,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005500,A000390,A007610,A004980,A003030,A023960,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A001830,A002030,A011090,A012750,A014440,A007310,A004940,A016880,A011690,A000100,A008730,A005950,A000760,A007570,A010510,A033240,A009720,A030000,A001300,A001040,A004910,A000010,A001630,A027460,A005600,A001060,A009680,A012600,A011050,A029460,A007810,A002020,A003070,A031820,A015260,A011280,A002790,A016570,A025930,A010770,A025000,A005490,A017810,A005810,A007360,A000660,A019490,A000140,A036460,A002000,A015760,A002300,A001940,A017960,A009760,A010150,A000240,A030200,A025830,A018880,A008930,A016830,A020000,A003680,A004710,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A012330,A010620,A012630,A011200,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,,
2001-10-29,A014820,A014040,A004020,A006200,A008480,A018590,A003550,A006360,A010120,A006260,A002610,A005940,A007700,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A012610,A012200,A010130,A009290,A007690,A023130,A008670,A006250,A002250,A002380,A001570,A002990,A011780,A001210,A019930,A000270,A025860,A003050,A002350,A005250,A004370,A023590,A009280,A033780,A008060,A000210,A001680,A003540,A006800,A003090,A024890,A012800,A006650,A001440,A001790,A003490,A001980,A004830,A024900,A015940,A001620,A001230,A016380,A000990,A005190,A000640,A001520,A001800,A010060,A019300,A000020,A000150,A002950,A001690,A003160,A026890,A000320,A016160,A018360,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005500,A000390,A007610,A004980,A003030,A023960,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A001830,A002030,A011090,A012750,A014440,A007310,A004940,A016880,A011690,A000100,A008730,A005950,A000760,A007570,A010510,A033240,A009720,A030000,A001300,A001040,A004910,A000480,A000010,A001630,A027460,A005600,A001060,A009680,A012600,A011050,A029460,A007810,A002020,A003070,A031820,A015260,A011280,A002790,A016570,A025930,A010770,A025000,A005490,A017810,A005810,A007360,A000660,A019490,A000140,A036460,A002000,A015760,A002300,A001940,A017960,A009760,A010150,A000240,A030200,A025830,A018880,A008930,A016830,A020000,A003680,A004710,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A012330,A010620,A012630,A011200,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,,
2001-11-09,A014820,A014040,A004020,A006200,A008480,A018590,A003550,A006360,A010120,A006260,A002610,A005940,A007700,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A012610,A012200,A010130,A009290,A007690,A008670,A006250,A002250,A002380,A001570,A002990,A011780,A001210,A019930,A000270,A025860,A003050,A002350,A005250,A004370,A023590,A009280,A033780,A008060,A000210,A001680,A003540,A006800,A003090,A024890,A012800,A006650,A001440,A001790,A003490,A001980,A004830,A024900,A015940,A001620,A001230,A016380,A000990,A005190,A000640,A001520,A001800,A010060,A005890,A019300,A000020,A000150,A002950,A001690,A003160,A026890,A000320,A016160,A018360,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005500,A000390,A007610,A004980,A003030,A023960,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A001830,A002030,A011090,A012750,A014440,A007310,A004940,A016880,A011690,A000100,A008730,A005950,A000760,A007570,A010510,A033240,A009720,A030000,A001300,A001040,A004910,A000480,A000010,A001630,A005600,A001060,A009680,A012600,A011050,A029460,A007810,A002020,A003070,A031820,A015260,A011280,A002790,A016570,A025930,A010770,A025000,A005490,A017810,A005810,A007360,A000660,A019490,A000140,A036460,A002000,A015760,A002300,A001940,A017960,A009760,A010150,A000240,A030200,A025830,A018880,A008930,A016830,A020000,A003680,A004710,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A012330,A010620,A012630,A011200,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,,,
2001-11-12,A014820,A014040,A004020,A006200,A008480,A018590,A003550,A006360,A010120,A006260,A002610,A005940,A007700,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A012610,A012200,A010130,A009290,A007690,A060000,A008670,A006250,A002250,A002380,A001570,A002990,A011780,A001210,A019930,A000270,A025860,A003050,A002350,A005250,A004370,A023590,A009280,A033780,A008060,A000210,A001680,A003540,A006800,A003090,A024890,A012800,A006650,A001440,A001790,A003490,A001980,A004830,A024900,A015940,A001620,A001230,A016380,A000990,A005190,A000640,A001520,A001800,A010060,A005890,A019300,A000020,A000150,A002950,A001690,A003160,A026890,A000320,A016160,A018360,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005500,A000390,A007610,A004980,A003030,A023960,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A001830,A002030,A011090,A012750,A014440,A007310,A004940,A016880,A011690,A000100,A008730,A005950,A000760,A007570,A010510,A033240,A009720,A030000,A001300,A001040,A004910,A000480,A000010,A001630,A005600,A001060,A009680,A012600,A011050,A029460,A007810,A002020,A003070,A031820,A015260,A011280,A002790,A016570,A025930,A010770,A025000,A005490,A017810,A005810,A007360,A000660,A019490,A000140,A036460,A002000,A015760,A002300,A001940,A017960,A009760,A010150,A000240,A030200,A025830,A018880,A008930,A016830,A020000,A003680,A004710,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A012330,A010620,A012630,A011200,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,,
2001-12-27,A014820,A014040,A004020,A006200,A008480,A018590,A003550,A006360,A010120,A006260,A002610,A005940,A007700,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A012610,A012200,A010130,A009290,A007690,A060000,A008670,A006250,A002250,A002380,A001570,A002990,A011780,A001210,A019930,A000270,A025860,A003050,A002350,A005250,A004370,A023590,A009280,A033780,A008060,A000210,A001680,A003540,A006800,A003090,A024890,A012800,A006650,A001440,A001790,A003490,A001980,A004830,A024900,A015940,A001620,A001230,A016380,A000990,A005190,A000640,A001520,A002900,A001800,A010060,A005890,A019300,A000020,A000150,A002950,A003160,A026890,A000320,A016160,A018360,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005500,A000390,A007610,A004980,A003030,A023960,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A001830,A002030,A011090,A012750,A014440,A007310,A004940,A016880,A011690,A000100,A008730,A005950,A000760,A007570,A010510,A033240,A009720,A030000,A001300,A001040,A004910,A000480,A000010,A001630,A005600,A001060,A009680,A012600,A011050,A029460,A007810,A002020,A003070,A031820,A015260,A011280,A002790,A016570,A025930,A010770,A025000,A005490,A017810,A005810,A007360,A000660,A019490,A000140,A036460,A002000,A015760,A002300,A001940,A017960,A009760,A010150,A000240,A030200,A025830,A018880,A008930,A016830,A020000,A003680,A004710,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A012330,A010620,A012630,A011200,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,,
2002-01-30,A014820,A014040,A004020,A006200,A008480,A018590,A003550,A006360,A010120,A006260,A002610,A005940,A007700,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A012610,A012200,A010130,A009290,A007690,A060000,A008670,A006250,A002250,A002380,A001570,A002990,A011780,A001210,A019930,A000270,A025860,A003050,A002350,A005250,A004370,A023590,A009280,A033780,A008060,A000210,A001680,A003540,A006800,A003090,A024890,A012800,A006650,A001440,A001790,A003490,A001980,A004830,A024900,A015940,A001620,A001230,A016380,A000990,A005190,A000640,A001520,A002900,A001800,A010060,A005890,A019300,A000020,A000150,A002950,A003160,A026890,A000320,A016160,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005500,A000390,A007610,A004980,A003030,A023960,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A001830,A002030,A011090,A012750,A014440,A007310,A004940,A016880,A011690,A000100,A008730,A005950,A000760,A007570,A010510,A033240,A009720,A030000,A001300,A001040,A004910,A000480,A000010,A001630,A005600,A001060,A009680,A012600,A011050,A029460,A007810,A002020,A003070,A031820,A015260,A011280,A002790,A016570,A025930,A010770,A025000,A005490,A017810,A005810,A007360,A000660,A019490,A000140,A036460,A002000,A015760,A002300,A001940,A017960,A009760,A010150,A000240,A030200,A025830,A018880,A008930,A016830,A020000,A003680,A004710,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A012330,A010620,A012630,A011200,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,,
2002-03-22,A014820,A004020,A006200,A008480,A018590,A003550,A006360,A010120,A006260,A002610,A005940,A007700,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A012610,A012200,A010130,A009290,A007690,A060000,A008670,A006250,A002250,A002380,A001570,A002990,A011780,A001210,A019930,A000270,A025860,A003050,A002350,A005250,A004370,A023590,A009280,A033780,A008060,A000210,A001680,A003540,A006800,A003090,A024890,A012800,A006650,A001440,A001790,A003490,A001980,A004830,A024900,A015940,A001620,A001230,A016380,A000990,A005190,A000640,A001520,A002900,A001800,A010060,A005890,A019300,A000020,A000150,A002950,A003160,A026890,A000320,A016160,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005500,A000390,A007610,A004980,A003030,A023960,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A001830,A002030,A011090,A012750,A014440,A007310,A004940,A016880,A011690,A000100,A008730,A005950,A000760,A007570,A010510,A033240,A009720,A030000,A001300,A001040,A004910,A000480,A000010,A001630,A005600,A001060,A009680,A012600,A011050,A029460,A007810,A002020,A003070,A031820,A015260,A011280,A002790,A009080,A016570,A025930,A010770,A025000,A005490,A017810,A005810,A007360,A000660,A019490,A000140,A036460,A002000,A015760,A002300,A001940,A017960,A009760,A010150,A000240,A030200,A025830,A018880,A008930,A016830,A020000,A003680,A004710,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A012330,A010620,A012630,A011200,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,,
2002-03-25,A014820,A004020,A006200,A018590,A003550,A006360,A010120,A006260,A002610,A005940,A007700,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A012610,A012200,A010130,A009290,A007690,A060000,A008670,A006250,A002250,A002380,A001570,A002990,A011780,A001210,A019930,A000270,A025860,A003050,A002350,A005250,A004370,A023590,A009280,A033780,A008060,A000210,A001680,A003540,A006800,A003090,A024890,A012800,A006650,A001440,A001790,A003490,A001980,A004830,A024900,A015940,A001620,A001230,A016380,A000990,A005190,A000640,A001520,A002900,A001800,A010060,A005890,A019300,A000020,A000150,A002950,A003160,A026890,A000320,A016160,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005500,A001820,A000390,A007610,A004980,A003030,A023960,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A001830,A002030,A011090,A012750,A014440,A007310,A004940,A016880,A011690,A000100,A008730,A005950,A000760,A007570,A010510,A033240,A009720,A030000,A001300,A001040,A004910,A000480,A000010,A001630,A005600,A001060,A009680,A012600,A011050,A029460,A007810,A002020,A003070,A031820,A015260,A011280,A002790,A009080,A016570,A025930,A010770,A025000,A005490,A017810,A005810,A007360,A000660,A019490,A000140,A036460,A002000,A015760,A002300,A001940,A017960,A009760,A010150,A000240,A030200,A025830,A018880,A008930,A016830,A020000,A003680,A004710,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A012330,A010620,A012630,A011200,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,,
2002-06-14,A015670,A014820,A004020,A006200,A030200,A003550,A002610,A006360,A010120,A051900,A006260,A066570,A032710,A005940,A051910,A007700,A005490,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A024070,A012610,A011840,A012200,A010130,A009290,A017900,A007690,A060000,A008670,A002250,A002380,A001570,A002990,A011780,A001210,A019930,A000270,A025860,A003050,A002350,A004370,A009280,A033780,A004130,A008060,A000210,A001680,A003540,A047040,A042660,A042670,A006800,A003090,A006650,A001440,A001790,A003490,A004830,A024900,A015940,A001230,A016380,A000990,A006600,A000640,A001520,A001800,A010060,A008970,A000020,A000150,A034020,A003160,A026890,A000320,A002270,A009680,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005680,A005500,A011230,A000390,A004980,A000180,A003030,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A003410,A003620,A001830,A002030,A006840,A012750,A014440,A007310,A004940,A016880,A000100,A008730,A005950,A000760,A003120,A007570,A010510,A033240,A009720,A030000,A001300,A001040,A000480,A000010,A001630,A001060,A012600,A006380,A029460,A007810,A002020,A031820,A015260,A002790,A009080,A025930,A010770,A025000,A017810,A005810,A007360,A000660,A019490,A000140,A036460,A025540,A002000,A015760,A002300,A000970,A001940,A017960,A009760,A010150,A000240,A018880,A008930,A016830,A020000,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A005440,A012630,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,A005010,,
2002-09-13,A015670,A014820,A007700,A004020,A006200,A030200,A003550,A002610,A006360,A010120,A051900,A006260,A066570,A032710,A005940,A051910,A005490,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A024070,A012610,A011840,A012200,A010130,A009290,A017900,A007690,A060000,A008670,A002250,A002380,A001570,A002990,A011780,A001210,A019930,A000270,A025860,A003050,A002350,A004370,A009280,A033780,A004130,A008060,A000210,A001680,A003540,A047040,A042660,A042670,A006800,A003090,A006650,A001440,A001790,A003490,A004830,A024900,A015940,A001230,A016380,A000990,A006600,A000640,A001520,A001800,A010060,A008970,A000020,A000150,A034020,A003160,A026890,A000320,A002270,A009680,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005680,A005500,A011230,A000390,A004980,A000180,A003030,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A003410,A003620,A001830,A002030,A006840,A012750,A014440,A007310,A004940,A053000,A016880,A000100,A008730,A005950,A000760,A003120,A007570,A010510,A033240,A009720,A030000,A001300,A001040,A000480,A000010,A001630,A001060,A012600,A006380,A029460,A007810,A002020,A031820,A002790,A009080,A025930,A010770,A025000,A017810,A005810,A007360,A000660,A019490,A000140,A036460,A025540,A002000,A015760,A002300,A000970,A001940,A017960,A009760,A010150,A000240,A018880,A008930,A016830,A020000,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A005440,A012630,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,A005010,,
2002-12-09,A015670,A001040,A014820,A007700,A004020,A006200,A030200,A003550,A002610,A006360,A010120,A051900,A006260,A066570,A032710,A005940,A051910,A005490,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A024070,A012610,A011840,A012200,A010130,A009290,A017900,A007690,A060000,A008670,A002250,A002380,A001570,A002990,A011780,A001210,A000270,A025860,A003050,A002350,A004370,A009280,A033780,A004130,A008060,A000210,A001680,A003540,A047040,A042660,A042670,A006800,A003090,A006650,A001440,A001790,A003490,A004830,A024900,A015940,A001230,A016380,A000990,A006600,A000640,A001520,A001800,A010060,A008970,A000020,A000150,A034020,A003160,A026890,A000320,A002270,A009680,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005680,A005500,A011230,A000390,A004980,A000180,A003030,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A003410,A003620,A001830,A002030,A006840,A012750,A014440,A007310,A004940,A053000,A016880,A000100,A008730,A005950,A000760,A003120,A007570,A010510,A033240,A009720,A030000,A001300,A000480,A000010,A001630,A001060,A012600,A006380,A029460,A007810,A002020,A031820,A015260,A002790,A009080,A025930,A010770,A025000,A017810,A005810,A007360,A000660,A019490,A000140,A036460,A025540,A002000,A015760,A002300,A000970,A001940,A017960,A009760,A010150,A000240,A018880,A008930,A016830,A020000,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A005440,A012630,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,A005010,,
2002-12-16,A015670,A001040,A014820,A007700,A004020,A006200,A030200,A003550,A002610,A006360,A010120,A051900,A006260,A066570,A032710,A005940,A051910,A005490,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A024070,A012610,A011840,A012200,A010130,A009290,A017900,A007690,A060000,A008670,A002250,A002380,A001570,A002990,A011780,A001210,A000270,A025860,A003050,A002350,A004370,A009280,A033780,A004130,A008060,A000210,A001680,A003540,A047040,A042660,A042670,A006800,A003090,A006650,A001440,A001790,A003490,A004830,A024900,A015940,A001230,A016380,A000990,A006600,A000640,A001520,A001800,A010060,A008970,A000020,A000150,A034020,A003160,A026890,A000320,A002270,A009680,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005680,A005500,A011230,A000390,A004980,A000180,A003030,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A003410,A003620,A001830,A002030,A006840,A012750,A014440,A007310,A004940,A053000,A016880,A000100,A008730,A005950,A000760,A003120,A007570,A010510,A033240,A009720,A030000,A001300,A000480,A000010,A001630,A001060,A012600,A006380,A029460,A007810,A002020,A031820,A015260,A002790,A009080,A025930,A010770,A025000,A017810,A005810,A002860,A000660,A019490,A000140,A036460,A025540,A002000,A015760,A002300,A000970,A001940,A017960,A009760,A010150,A000240,A018880,A008930,A016830,A020000,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A005440,A012630,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A013520,A025850,A016580,A004800,A005010,,
2003-02-27,A015670,A001040,A014820,A007700,A004020,A006200,A030200,A033780,A003550,A006360,A010120,A051900,A006260,A066570,A032710,A005940,A051910,A005490,A010950,A025530,A003600,A011790,A001740,A001510,A006120,A017670,A011810,A024070,A012610,A011840,A012200,A010130,A009290,A017900,A007690,A060000,A008670,A002250,A002380,A001570,A002990,A011780,A001210,A000270,A025860,A003050,A002350,A004370,A009280,A004130,A008060,A000210,A001680,A003540,A047040,A042660,A042670,A006800,A003090,A006650,A001440,A001790,A003490,A004830,A024900,A015940,A001230,A016380,A000990,A006600,A000640,A001520,A001800,A010060,A008970,A000020,A000150,A034020,A003160,A026890,A000320,A002270,A009680,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005680,A005500,A011230,A000390,A004980,A000180,A003030,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A003410,A003620,A001830,A002030,A006840,A012750,A014440,A007310,A004940,A053000,A016880,A000100,A008730,A005950,A000760,A003120,A007570,A010510,A033240,A009720,A030000,A001300,A000480,A000010,A001630,A001060,A012600,A006380,A029460,A007810,A002020,A031820,A015260,A002790,A009080,A025930,A010770,A025000,A017810,A005810,A002860,A000660,A019490,A000140,A036460,A025540,A002000,A015760,A002300,A000970,A001940,A017960,A009760,A010150,A000240,A018880,A008930,A016830,A020000,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A005440,A012630,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A008770,A013520,A025850,A016580,A004800,A005010,,
2003-04-01,A015670,A001040,A014820,A007700,A004020,A006200,A030200,A033780,A003550,A006360,A010120,A001120,A051900,A006260,A066570,A032710,A005940,A051910,A005490,A010950,A025530,A003600,A011790,A001510,A006120,A017670,A011810,A024070,A012610,A011840,A012200,A010130,A009290,A017900,A007690,A060000,A008670,A002250,A002380,A001570,A002990,A011780,A001210,A000270,A025860,A003050,A002350,A004370,A009280,A004130,A008060,A000210,A001680,A003540,A047040,A042660,A042670,A006800,A003090,A006650,A001440,A001790,A003490,A004830,A024900,A015940,A001230,A016380,A000990,A006600,A000640,A001520,A001800,A010060,A008970,A000020,A000150,A034020,A003160,A026890,A000320,A002270,A009680,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005680,A005500,A011230,A000390,A004980,A000180,A003030,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A003410,A003620,A001830,A002030,A006840,A012750,A014440,A007310,A004940,A053000,A016880,A000100,A008730,A005950,A000760,A003120,A007570,A010510,A033240,A009720,A030000,A001300,A000480,A000010,A001630,A001060,A012600,A006380,A029460,A007810,A002020,A031820,A015260,A002790,A009080,A025930,A010770,A025000,A017810,A005810,A002860,A000660,A019490,A000140,A036460,A025540,A002000,A015760,A002300,A000970,A001940,A017960,A009760,A010150,A000240,A018880,A008930,A016830,A020000,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A005440,A012630,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A008770,A013520,A025850,A016580,A004800,A005010,,
2003-04-23,A015670,A001040,A014820,A007700,A004020,A006200,A030200,A033780,A003550,A006360,A010120,A001120,A051900,A006260,A066570,A032710,A005940,A051910,A005490,A010950,A025530,A003600,A011790,A001510,A006120,A017670,A011810,A024070,A012610,A011840,A012200,A010130,A009290,A017900,A007690,A060000,A008670,A002250,A002380,A001570,A002990,A011780,A001210,A000270,A025860,A003050,A002350,A004370,A009280,A004130,A008060,A000210,A001680,A003540,A047040,A042660,A042670,A006800,A003090,A006650,A001440,A001790,A003490,A004830,A024900,A015940,A001620,A016380,A000990,A006600,A000640,A001520,A001800,A010060,A008970,A000020,A000150,A034020,A003160,A026890,A000320,A002270,A009680,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005680,A005500,A011230,A000390,A004980,A000180,A003030,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A003410,A003620,A001830,A002030,A006840,A012750,A014440,A007310,A004940,A053000,A016880,A000100,A008730,A005950,A000760,A003120,A007570,A010510,A033240,A009720,A030000,A001300,A000480,A000010,A001630,A001060,A012600,A006380,A029460,A007810,A002020,A031820,A015260,A002790,A009080,A025930,A010770,A025000,A017810,A005810,A002860,A000660,A019490,A000140,A036460,A025540,A002000,A015760,A002300,A000970,A001940,A017960,A009760,A010150,A000240,A018880,A008930,A016830,A020000,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A005440,A012630,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A008770,A013520,A025850,A016580,A004800,A005010,,
2003-04-30,A015670,A001040,A014820,A007700,A004020,A006200,A030200,A033780,A003550,A006360,A010120,A001120,A051900,A006260,A066570,A032710,A005940,A051910,A005490,A010950,A025530,A003600,A011790,A001510,A006120,A017670,A011810,A024070,A012610,A012200,A010130,A009290,A017900,A007690,A060000,A008670,A002250,A002380,A001570,A002990,A011780,A001210,A000270,A025860,A003050,A002350,A004370,A009280,A004130,A008060,A000210,A001680,A003540,A047040,A042660,A042670,A006800,A003090,A006650,A001440,A001790,A003490,A004830,A024900,A015940,A001620,A016380,A000990,A005190,A006600,A000640,A001520,A001800,A010060,A008970,A000020,A000150,A034020,A003160,A026890,A000320,A002270,A009680,A025560,A035150,A007210,A003000,A005180,A014900,A006400,A006660,A000830,A009150,A005930,A004000,A010140,A016360,A012450,A000810,A000070,A003940,A005680,A005500,A011230,A000390,A004980,A000180,A003030,A002200,A029530,A009200,A011930,A004170,A009270,A055550,A003410,A003620,A001830,A002030,A006840,A012750,A014440,A007310,A004940,A053000,A016880,A000100,A008730,A005950,A000760,A003120,A007570,A010510,A033240,A009720,A030000,A001300,A000480,A000010,A001630,A001060,A012600,A006380,A029460,A007810,A002020,A031820,A015260,A002790,A009080,A025930,A010770,A025000,A017810,A005810,A002860,A000660,A019490,A000140,A036460,A025540,A002000,A015760,A002300,A000970,A001940,A017960,A009760,A010150,A000240,A018880,A008930,A016830,A020000,A004150,A014680,A003300,A007860,A003480,A000700,A000880,A009830,A000720,A012330,A010620,A005440,A012630,A006390,A017800,A009540,A003450,A005380,A010520,A011170,A008770,A013520,A025850,A016580,A004800,A005010,,
